#############################################;;;;;;;;;;;;;;x
#Agriculture Inventions;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
cotton_gin;Cotton Gin;;;;;;;;;;;;x,,,,,,,
cotton_gin_desc;Eli Whitney invented the first mechanical machine for separating cotton fibres from their seeds in 1793. This dramatically increased the productivity of cotton plantations.;;;;;;;;;;;;x,,,,,,
cattle_trucks;Cattle Trucks;;;;;;;;;;;;x,,,,,,,
cattle_trucks_desc;The introduction of automobiles has also had one ancillary benefit: the development of cattle trucks, large enough to hold multiple cattle at once and speed up the process of delivering livestock for slaughter.;;;;;;;;;;;;x,,,,,,
cattle_breeding_program;Cattle Breeding Program;;;;;;;;;;;;x,,,,,,,
cattle_breeding_program_desc;New methods of breeding livestock have led to a boom in cattle and horse populations, and permitted the average rancher far more control over the quality of his stock.;;;;;;;;;;;;x,,,,,,
accelerated_vulcanization;Accelerated Vulcanization;;;;;;;;;;;;x,,,,,,,
accelerated_vulcanization_desc;It was discovered in the early Twentieth Century that the addition of the organic compound aniline produced an accelerating effect. The active zinc salts in the aniline react strongly with the zinc oxide present in sulfur-vulcanized rubber to decrease the cure time necessary. Other compounds were later used that provided even faster cure times.;;;;;;;;;;;;x,,,,,,
silk_waste_spinning;Silk Waste Spinning;;;;;;;;;;;;x,,,,,,,
silk_waste_spinning_desc;This was a cumulative set of processes developed throughout the 19th century to process previously unusable silk. Sources of waste silk included the gummy silk fibres left over the predominant Silk Throwing Process and from the cocoons of the mulberry worms themselves. Previously this 'waste silk' had accounted for nearly 50% of raw silk production, and now it could be utilized too.;;;;;;;;;;;;x,,,,,,
inclosure;Inclosure;;;;;;;;;;;;x,,,,,,,
inclosure_desc;Inclosure is the process which was used in order to end some traditional rights, such as mowing meadows for hay, or grazing livestock on land which is owned by another person. Under inclosure, such land is fenced and deeded or entitled to one or more owners. By the 19th century, unenclosed commons had become largely restricted to rough pasture in mountainous areas and in relatively small parts of the lowlands.;;;;;;;;;;;;x,,,
regenerative_forestry;Regenerative Forestry;;;;;;;;;;;;x,,,,,,,
regenerative_forestry_desc;New methods of harvesting our nation's forests must be undertaken, in order to ensure that these resources remain sustainable as techniques for harvesting lumber become more advanced.;;;;;;;;;;;;x,,,,,,
spinning_jenny;Spinning Jenny;;;;;;;;;;;;x,,,,,,,
spinning_jenny_desc;The spinning jenny is a multi-tool spinning frame. The device reduced the amount of work needed to produce yarn, with a worker able to work eight or more spools at once. It advanced the efficiency of the textile industry a great deal, and was one of the driving forces behind the Industrial Revolution in many textile-based countries.;;;;;;;;;;;;x,,,,,
seafood_packing;Seafood Packing;;;;;;;;;;;;x,,,,,,,
seafood_packing_desc;The ability to preserve seafood was the first step in permitting such food to reach parts of the country that did not live by the coast, thereby assisting in the growth of large urban centers.;;;;;;;;;;;;x,,,,,,
combine_harvesters;Powered Combine;;;;;;;;;;;;x,,,,,,,
combine_harvesters_desc;With George Stockton Berry's use of a steam engine in a combine harvester, the potential harvest of a single worker increased dramatically.;;;;;;;;;;;;x,,,,,,
mechanized_farming_equipment;Mechanized Farming Equipment;;;;;;;;;;;;x,,,,,,,
